股票代码,股票简称,最新价,最新涨跌幅,牛叉诊股综合评分,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分,market_code,code
002625.SZ,光启技术,13.82,-3.693,6.3,6.8,5.0,8.8,4.5,6.0,33,2625
002831.SZ,裕同科技,26.06,-0.686,6.3,7.4,7.3,5.5,1.0,6.9,33,2831
002847.SZ,盐津铺子,69.59,0.419,6.3,5.5,6.8,7.7,1.1,7.9,33,2847
002984.SZ,森麒麟,30.53,0.197,6.3,7.0,7.6,6.2,1.0,6.5,33,2984
300109.SZ,新开源,17.19,3.243,6.3,6.0,6.3,7.7,4.5,6.6,33,300109
300226.SZ,上海钢联,21.97,1.431,6.3,6.0,4.9,7.2,4.5,8.1,33,300226
300442.SZ,润泽科技,22.41,3.129,6.3,7.0,5.0,7.7,1.0,7.9,33,300442
300492.SZ,华图山鼎,93.85,-2.412,6.3,8.8,7.7,5.1,1.0,4.9,33,300492
300832.SZ,新产业,77.66,2.386,6.3,8.3,6.0,5.5,0.0,7.2,33,300832
300919.SZ,中伟股份,45.07,-2.425,6.3,6.4,8.3,6.1,1.0,6.8,33,300919
300938.SZ,信测标准,30.92,-0.897,6.3,7.4,7.4,6.2,1.0,6.1,33,300938
300979.SZ,华利集团,59.97,2.007,6.3,8.4,6.0,5.5,1.0,6.8,33,300979
301236.SZ,软通动力,37.21,-2.027,6.3,7.9,6.9,5.5,1.0,6.4,33,301236
301301.SZ,川宁生物,8.68,0.115,6.3,6.3,7.5,6.9,1.1,7.1,33,301301
600010.SH,包钢股份,1.51,-0.658,6.3,8.8,5.4,6.0,4.2,5.1,17,600010
600016.SH,民生银行,4.08,1.746,6.3,8.0,5.9,5.5,7.6,4.6,17,600016
600021.SH,上海电力,8.28,0.0,6.3,6.6,6.9,6.2,4.9,6.2,17,600021
600048.SH,保利发展,9.86,0.51,6.3,6.9,6.7,5.0,4.5,6.8,17,600048
600167.SH,联美控股,5.85,-1.846,6.3,7.8,7.0,5.5,4.9,5.1,17,600167
600298.SH,安琪酵母,33.17,-0.837,6.3,6.6,6.4,5.5,4.5,7.1,17,600298
600323.SH,瀚蓝环境,16.45,-0.182,6.3,7.4,5.0,5.5,4.5,7.2,17,600323
600438.SH,通威股份,25.65,-1.346,6.3,6.9,6.3,5.5,4.5,6.9,17,600438
600663.SH,陆家嘴,9.13,0.22,6.3,6.8,6.8,5.5,4.5,6.3,17,600663
600704.SH,物产中大,4.52,-0.221,6.3,7.8,6.1,5.5,4.5,6.0,17,600704
600707.SH,彩虹股份,6.54,-0.608,6.3,6.1,6.3,6.6,4.5,6.9,17,600707
600720.SH,中交设计,9.55,-1.546,6.3,7.4,5.1,6.6,4.5,6.4,17,600720
600801.SH,华新水泥,14.2,3.65,6.3,7.5,5.8,5.5,4.5,6.6,17,600801
600839.SH,四川长虹,4.67,2.637,6.3,5.6,5.1,7.7,4.5,7.8,17,600839
600862.SH,中航高科,18.84,-0.37,6.3,6.6,6.0,5.0,4.5,7.7,17,600862
600867.SH,通化东宝,10.42,0.579,6.3,7.8,5.1,5.5,5.1,6.6,17,600867
600875.SH,东方电气,15.06,-0.265,6.3,8.6,4.4,5.5,4.5,6.3,17,600875
600961.SH,株冶集团,9.87,-0.604,6.3,8.5,3.5,5.8,4.7,6.9,17,600961
601077.SH,渝农商行,4.44,1.37,6.3,8.4,5.7,5.5,4.1,5.5,17,601077
601118.SH,海南橡胶,4.32,-0.461,6.3,7.8,4.8,6.2,4.5,6.3,17,601118
601231.SH,环旭电子,13.79,-1.99,6.3,7.3,6.4,5.5,4.5,6.4,17,601231
601318.SH,中国平安,42.35,-0.889,6.3,8.6,6.0,5.5,4.5,5.0,17,601318
601611.SH,中国核建,7.01,-0.285,6.3,8.6,6.4,5.5,1.0,6.2,17,601611
601633.SH,长城汽车,21.62,-2.083,6.3,6.5,7.4,5.5,4.7,6.3,17,601633
603056.SH,德邦股份,14.46,-0.891,6.3,7.4,6.6,5.5,1.0,7.3,17,603056
603100.SH,川仪股份,25.55,-2.295,6.3,7.5,5.3,5.5,1.0,8.2,17,603100
603187.SH,海容冷链,14.33,-0.83,6.3,7.4,7.1,5.5,1.0,7.0,17,603187
603596.SH,伯特利,55.5,-2.7,6.3,6.6,7.0,6.4,1.0,7.4,17,603596
603666.SH,亿嘉和,23.21,0.086,6.3,7.4,7.6,7.2,1.2,5.3,17,603666
603801.SH,志邦家居,14.7,-0.136,6.3,6.0,7.4,5.5,1.0,8.3,17,603801
603927.SH,中科软,26.28,-1.314,6.3,7.4,7.0,5.0,1.0,7.3,17,603927
605186.SH,健麾信息,36.28,-4.021,6.3,7.7,8.0,5.0,1.2,5.9,17,605186
688018.SH,乐鑫科技,90.3,-1.613,6.3,7.7,5.9,5.0,1.2,7.8,17,688018
688019.SH,安集科技,144.0,-0.792,6.3,7.6,6.9,5.5,1.1,6.8,17,688019
688082.SH,盛美上海,85.8,-1.061,6.3,7.5,6.5,5.5,1.2,7.2,17,688082
688147.SH,微导纳米,35.38,0.569,6.3,7.3,5.8,7.7,1.0,6.7,17,688147
688198.SH,佰仁医疗,122.33,-1.593,6.3,8.9,6.3,5.5,0.0,6.2,17,688198
688281.SH,华秦科技,112.9,0.089,6.3,7.4,7.3,5.5,1.1,6.6,17,688281
688305.SH,科德数控,66.45,-2.879,6.3,7.3,6.3,7.7,1.0,6.3,17,688305
688390.SH,固德威,106.6,-2.914,6.3,6.1,8.0,5.5,1.0,7.8,17,688390
688563.SH,航材股份,50.66,0.756,6.3,7.4,7.4,5.5,1.1,6.8,17,688563
689009.SH,九号公司,27.22,-3.097,6.3,6.8,7.9,5.5,1.0,7.0,17,689009
000534.SZ,万泽股份,11.06,-1.162,6.2,5.9,4.4,7.7,5.1,7.5,33,534
000683.SZ,远兴能源,5.89,0.341,6.2,6.7,5.6,4.4,4.5,7.7,33,683
000725.SZ,京东方A,3.96,0.253,6.2,8.6,5.4,3.9,4.5,6.2,33,725
000758.SZ,中色股份,4.5,0.0,6.2,7.7,3.2,7.7,4.7,6.4,33,758
000786.SZ,北新建材,29.06,1.113,6.2,7.3,5.0,5.5,4.5,7.0,33,786
000878.SZ,云南铜业,10.92,0.46,6.2,6.7,5.8,5.5,4.7,6.8,33,878
000937.SZ,冀中能源,7.94,2.188,6.2,8.2,5.0,5.5,5.5,5.5,33,937
000950.SZ,重药控股,4.99,0.201,6.2,6.3,7.1,5.5,4.6,6.6,33,950
000972.SZ,中基健康,4.05,2.273,6.2,8.5,2.6,6.9,4.5,6.4,33,972
